Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T03:00+01:00;2025-01-07T04:00+01:00;2025-01-07;03:00;04:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T04:00+01:00;2025-01-07T05:00+01:00;2025-01-07;04:00;05:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T05:00+01:00;2025-01-07T06:00+01:00;2025-01-07;05:00;06:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T06:00+01:00;2025-01-07T07:00+01:00;2025-01-07;06:00;07:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T07:00+01:00;2025-01-07T08:00+01:00;2025-01-07;07:00;08:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T08:00+01:00;2025-01-07T09:00+01:00;2025-01-07;08:00;09:00;1;14
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T09:00+01:00;2025-01-07T10:00+01:00;2025-01-07;09:00;10:00;1;7
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T10:00+01:00;2025-01-07T11:00+01:00;2025-01-07;10:00;11:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T11:00+01:00;2025-01-07T12:00+01:00;2025-01-07;11:00;12:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T12:00+01:00;2025-01-07T13:00+01:00;2025-01-07;12:00;13:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T13:00+01:00;2025-01-07T14:00+01:00;2025-01-07;13:00;14:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T14:00+01:00;2025-01-07T15:00+01:00;2025-01-07;14:00;15:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T15:00+01:00;2025-01-07T16:00+01:00;2025-01-07;15:00;16:00;1;4
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T16:00+01:00;2025-01-07T17:00+01:00;2025-01-07;16:00;17:00;1;17
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T17:00+01:00;2025-01-07T18:00+01:00;2025-01-07;17:00;18:00;1;11
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T18:00+01:00;2025-01-07T19:00+01:00;2025-01-07;18:00;19:00;1;5
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T19:00+01:00;2025-01-07T20:00+01:00;2025-01-07;19:00;20:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T20:00+01:00;2025-01-07T21:00+01:00;2025-01-07;20:00;21:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T21:00+01:00;2025-01-07T22:00+01:00;2025-01-07;21:00;22:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T22:00+01:00;2025-01-07T23:00+01:00;2025-01-07;22:00;23:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-07T23:00+01:00;2025-01-08T00:00+01:00;2025-01-07;23:00;00:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-08T00:00+01:00;2025-01-08T01:00+01:00;2025-01-08;00:00;01:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-08T01:00+01:00;2025-01-08T02:00+01:00;2025-01-08;01:00;02:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-08T02:00+01:00;2025-01-08T03:00+01:00;2025-01-08;02:00;03:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-08T03:00+01:00;2025-01-08T04:00+01:00;2025-01-08;03:00;04:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-08T04:00+01:00;2025-01-08T05:00+01:00;2025-01-08;04:00;05:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-08T05:00+01:00;2025-01-08T06:00+01:00;2025-01-08;05:00;06:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-08T06:00+01:00;2025-01-08T07:00+01:00;2025-01-08;06:00;07:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-08T07:00+01:00;2025-01-08T08:00+01:00;2025-01-08;07:00;08:00;1;12
